what is the time,TIME
what time is it right now,TIME
time now,TIME
what time is it,TIME
time,TIME
do you have the time,TIME
have you got the time,TIME
is it 5:00 pm yet,TIME
can i have the time,TIME
tell me the time,TIME
do you know what time it is,TIME
current time,TIME
when is it,TIME
its pizza time,PIZZA
order me a pizza,PIZZA
get me some pizza,PIZZA
only pizza can satisfy my hunger,PIZZA
pizza now,PIZZA
pizza near me,PIZZA
pizza delivery near me,PIZZA
order a pizza,PIZZA
pizza,PIZZA
i could go for some pizza,PIZZA
i want a slice of pizza,PIZZA
pepperoni pizza,PIZZA
pepperoni pizza,PIZZA
pizza slices near me,PIZZA
hello,GREET
hi,GREET
hey,GREET
yo,GREET
whats up,GREET
good morning,GREET
good day,GREET
good evening,GREET
good afternoon,GREET
bonjour,GREET
hola,GREET
guten tag,GREET
how are you,GREET
hows it going,GREET
wut up,GREET
greetings,GREET
whats it like outside,WEATHER
is it cold outside,WEATHER
is it hot outside,WEATHER
what is the temperature,WEATHER
hows the weather,WEATHER
whats the forecast,WEATHER
whats the seven day forecast,WEATHER
do i need an umbrella today,WEATHER
is it shorts weather,WEATHER
weather,WEATHER
extreme weather events near me,WEATHER
is it going to rain today,WEATHER
is it going to snow today,WEATHER
snow report,WEATHER
whats the weather like,WEATHER
tell a joke,JOKE
tell me a joke,JOKE
make me laugh,JOKE
tell me something funny,JOKE
got any jokes,JOKE
tell me a knock knock joke,JOKE
entertain me with a joke,JOKE
tell me a dad joke,JOKE
know any good puns,JOKE
regale me with a joke,JOKE
whats the last joke you heard,JOKE
joke,JOKE
give me a funny,JOKE
make me lol,JOKE
can you crack a joke,JOKE
"tick tock on the clock, but the party dont stop",TIME
